"id","name","url","thumbnail_image_url","recipe_kind_id","time"
512,"はまぐりのお吸い物","https://chefgohan.gnavi.co.jp/detail/4249/","https://c-chefgohan.gnst.jp/imgdata/recipe/49/42/4249/rc732x546_1605300127_b5a3da205c5eca3c0f9e9505d27c875a.jpg",1,15
768,"水茄子ときゅうりの浅漬け","https://chefgohan.gnavi.co.jp/detail/3298/","https://c-chefgohan.gnst.jp/imgdata/recipe/98/32/3298/rc732x546_1506200317_980fe3042b8caa5c352b3c4a8d0922cf.jpg",1,10
1024,"クリスマス寿司ケーキ","https://chefgohan.gnavi.co.jp/detail/1971/","https://c-chefgohan.gnst.jp/imgdata/recipe/71/19/1971/rc732x546_1311261220_a256c414805cc43107a8282b62fc0fc8.jpg",1,20
1280,"[まかない] かやくごはん","https://chefgohan.gnavi.co.jp/detail/4043","https://c-chefgohan.gnst.jp/imgdata/recipe/43/40/4043/rc732x546_1602191843_9cc060cef2467dccc0d227d14b07f883.jpg",1,40
1536,"簡単！ガリトマ♪","https://chefgohan.gnavi.co.jp/detail/3058","https://c-chefgohan.gnst.jp/imgdata/recipe/58/30/3058/rc732x546_1503020232_78cd7b2a6c75db6e3ef1c91200beb894.jpg",1,10
1792,"がらスープで食べる鶏汁つけそば","https://chefgohan.gnavi.co.jp/detail/1476","https://c-chefgohan.gnst.jp/imgdata/recipe/76/14/1476/rc732x546_1606101141_61b141e04bf7ea70c00e7f9b02039802.jpg",1,15
2048,"じゃがバター鍋","https://chefgohan.gnavi.co.jp/detail/398","https://c-chefgohan.gnst.jp/imgdata/recipe/98/03/398/rc732x546_1209171212_2c2b38d873066a4d751fa108091091d2.jpg",1,30
1,"親子丼","https://chefgohan.gnavi.co.jp/detail/89","https://c-chefgohan.gnst.jp/imgdata/recipe/89/00/89/rc732x546_1209090546_ea8ef861fa007bf83a810b3c6fc9a589.jpg",1,10
513,"まかないポテトサラダ","https://chefgohan.gnavi.co.jp/detail/4248/","https://c-chefgohan.gnst.jp/imgdata/recipe/48/42/4248/rc732x546_1605172018_e40c8db84b6f9557bec0c776124e960f.jpg",1,20
769,"冷やしとろろ蕎麦","https://chefgohan.gnavi.co.jp/detail/3296/","https://c-chefgohan.gnst.jp/imgdata/recipe/96/32/3296/rc732x546_1506190125_b9877d6e3f45c01e8872e994bb110f5d.jpg",1,15
1025,"おでんの残りでガランティーヌ風","https://chefgohan.gnavi.co.jp/detail/1963/","https://c-chefgohan.gnst.jp/imgdata/recipe/63/19/1963/rc732x546_1311250619_85b1453c020046865c79062fe26c26a8.jpg",1,30
1281,"桜とサーモンの寿司ケーキ","https://chefgohan.gnavi.co.jp/detail/4042","https://c-chefgohan.gnst.jp/imgdata/recipe/42/40/4042/rc732x546_1602221052_5d481488c4a670a5ddeb37c21555ca83.jpg",1,20
1537,"10分で作るタレ！貝だしの旨みのアッサリ　春の油そば","https://chefgohan.gnavi.co.jp/detail/3055","https://c-chefgohan.gnst.jp/imgdata/recipe/55/30/3055/rc732x546_1503020245_6c2491b9d1d0e638c48908ade70f5ed1.jpg",1,10
1793,"無花果甲州煮（いちじくのワイン煮）","https://chefgohan.gnavi.co.jp/detail/1473","https://c-chefgohan.gnst.jp/imgdata/recipe/73/14/1473/rc732x546_1309080940_c07bb6f45ba71d1c5c9d9a8a37f36b79.jpg",1,20
2049,"白菜の明太子和え","https://chefgohan.gnavi.co.jp/detail/397","https://c-chefgohan.gnst.jp/imgdata/recipe/97/03/397/rc732x546_1209171211_301bf61ba3b8babc35c6b66443e44571.jpg",1,10
2,"玉子焼き","https://chefgohan.gnavi.co.jp/detail/90","https://c-chefgohan.gnst.jp/imgdata/recipe/90/00/90/rc732x546_1209090617_e73e7d03237e70e759dfd90c84c24733.jpg",1,10
514,"お弁当に彩りを加える錦玉子","https://chefgohan.gnavi.co.jp/detail/4246/","https://c-chefgohan.gnst.jp/imgdata/recipe/46/42/4246/rc732x546_1605081119_12152f6eab514897b80849425f82c6b6.jpg",1,120
770,"簡単調味料シリーズ　醤油たれ","https://chefgohan.gnavi.co.jp/detail/3290/","https://c-chefgohan.gnst.jp/imgdata/recipe/90/32/3290/rc732x546_1506191225_6eaf4f0c731f7a495ba7a6a290be7cf3.jpg",1,10
1026,"手羽唐揚げ","https://chefgohan.gnavi.co.jp/detail/1958/","https://c-chefgohan.gnst.jp/imgdata/recipe/58/19/1958/rc732x546_1311250408_a8594f38076873bcead139b1ebd740df.jpg",1,40
1282,"新じゃがと菜の花の和風グラタン","https://chefgohan.gnavi.co.jp/detail/4041","https://c-chefgohan.gnst.jp/imgdata/recipe/41/40/4041/rc732x546_1602221119_5a1f8e2b134751a10ba8b56c1e1b14cb.jpg",1,20
1538,"シャキ！ねば！鰹のユッケ","https://chefgohan.gnavi.co.jp/detail/3048","https://c-chefgohan.gnst.jp/imgdata/recipe/48/30/3048/rc732x546_1502280343_97b4b87169e3bdbb1c07fb14fe5cd4c7.jpg",1,10
1794,"もろみドレッシングの温玉サラダうどん","https://chefgohan.gnavi.co.jp/detail/1469","https://c-chefgohan.gnst.jp/imgdata/recipe/69/14/1469/rc732x546_1309050314_cce2acb8b51261de5ba81b6ba7c5b52f.jpg",1,15
2050,"ミルク鍋","https://chefgohan.gnavi.co.jp/detail/396","https://c-chefgohan.gnst.jp/imgdata/recipe/96/03/396/rc732x546_1209171210_bd4afe1e9eb8b5e63a7ff062bff63cb6.jpg",1,45
3,"鶏のから揚げ","https://chefgohan.gnavi.co.jp/detail/91","https://c-chefgohan.gnst.jp/imgdata/recipe/91/00/91/rc732x546_1209091011_6722e12fa22673b3f1afb583c653d71e.jpg",1,15
515,"フライパンで簡単　黄ニラ出汁巻き玉子","https://chefgohan.gnavi.co.jp/detail/4240/","https://c-chefgohan.gnst.jp/imgdata/recipe/40/42/4240/rc732x546_1605241519_81ec66445896de80d8e80a75b9e2f9e8.jpg",1,5
771,"〔まかない〕夏野菜とじゃこの焼きびたし","https://chefgohan.gnavi.co.jp/detail/3281/","https://c-chefgohan.gnst.jp/imgdata/recipe/81/32/3281/rc732x546_1506090401_773c33d11f0ca3904a7da7e47228b717.jpg",1,15
